FIPS_Code,State,Area_Name,Attribute,Value
1035,AL,Conecuh County,Urban_Influence_Code_2024,9
1035,AL,Conecuh County,POVALL_2023,2920
1035,AL,Conecuh County,CI90LBALL_2023,2317
1035,AL,Conecuh County,CI90UBALL_2023,3523
1035,AL,Conecuh County,PCTPOVALL_2023,26.5
1035,AL,Conecuh County,CI90LBALLP_2023,21
1035,AL,Conecuh County,CI90UBALLP_2023,32
1035,AL,Conecuh County,POV017_2023,961
1035,AL,Conecuh County,CI90LB017_2023,728
1035,AL,Conecuh County,CI90UB017_2023,1194
1035,AL,Conecuh County,PCTPOV017_2023,43.1
1035,AL,Conecuh County,CI90LB017P_2023,32.7
1035,AL,Conecuh County,CI90UB017P_2023,53.5
1035,AL,Conecuh County,POV517_2023,686
1035,AL,Conecuh County,CI90LB517_2023,503
1035,AL,Conecuh County,CI90UB517_2023,869
1035,AL,Conecuh County,PCTPOV517_2023,42.6
1035,AL,Conecuh County,CI90LB517P_2023,31.2
1035,AL,Conecuh County,CI90UB517P_2023,54
1035,AL,Conecuh County,MEDHHINC_2023,46702
1035,AL,Conecuh County,CI90LBINC_2023,43315
1035,AL,Conecuh County,CI90UBINC_2023,50089
1053,AL,Escambia County,Rural_Urban_Continuum_Code_2013,6
1053,AL,Escambia County,Urban_Influence_Code_2013,6
1053,AL,Escambia County,Rural_Urban_Continuum_Code_2023,6
1053,AL,Escambia County,Urban_Influence_Code_2024,6
1053,AL,Escambia County,POVALL_2023,7331
1053,AL,Escambia County,CI90LBALL_2023,5713
1053,AL,Escambia County,CI90UBALL_2023,8949
1053,AL,Escambia County,PCTPOVALL_2023,21.3
1053,AL,Escambia County,CI90LBALLP_2023,16.6
1053,AL,Escambia County,CI90UBALLP_2023,26
1053,AL,Escambia County,POV017_2023,2365
1053,AL,Escambia County,CI90LB017_2023,1710
1053,AL,Escambia County,CI90UB017_2023,3020
1053,AL,Escambia County,PCTPOV017_2023,29
1053,AL,Escambia County,CI90LB017P_2023,21
1053,AL,Escambia County,CI90UB017P_2023,37
1053,AL,Escambia County,POV517_2023,1691
1053,AL,Escambia County,CI90LB517_2023,1212
1053,AL,Escambia County,CI90UB517_2023,2170
1053,AL,Escambia County,PCTPOV517_2023,28.2
1053,AL,Escambia County,CI90LB517P_2023,20.2
1053,AL,Escambia County,CI90UB517P_2023,36.2
1053,AL,Escambia County,MEDHHINC_2023,50333
1053,AL,Escambia County,CI90LBINC_2023,45240
1053,AL,Escambia County,CI90UBINC_2023,55426
1097,AL,Mobile County,Rural_Urban_Continuum_Code_2013,2
1097,AL,Mobile County,Urban_Influence_Code_2013,2
1097,AL,Mobile County,Rural_Urban_Continuum_Code_2023,2
1097,AL,Mobile County,Urban_Influence_Code_2024,4
1097,AL,Mobile County,POVALL_2023,65684
1097,AL,Mobile County,CI90LBALL_2023,58161
1097,AL,Mobile County,CI90UBALL_2023,73207
1097,AL,Mobile County,PCTPOVALL_2023,16.3
1097,AL,Mobile County,CI90LBALLP_2023,14.4
1097,AL,Mobile County,CI90UBALLP_2023,18.2
1097,AL,Mobile County,POV017_2023,23306
1097,AL,Mobile County,CI90LB017_2023,19136
1097,AL,Mobile County,CI90UB017_2023,27476
1097,AL,Mobile County,PCTPOV017_2023,24.8
1097,AL,Mobile County,CI90LB017P_2023,20.4
1097,AL,Mobile County,CI90UB017P_2023,29.2
1097,AL,Mobile County,POV517_2023,16432
1097,AL,Mobile County,CI90LB517_2023,13322
1097,AL,Mobile County,CI90UB517_2023,19542
1097,AL,Mobile County,PCTPOV517_2023,24.1
1097,AL,Mobile County,CI90LB517P_2023,19.5
1097,AL,Mobile County,CI90UB517P_2023,28.7
1097,AL,Mobile County,MEDHHINC_2023,55538
1097,AL,Mobile County,CI90LBINC_2023,52899
1097,AL,Mobile County,CI90UBINC_2023,58177
1099,AL,Monroe County,Rural_Urban_Continuum_Code_2013,7
1099,AL,Monroe County,Urban_Influence_Code_2013,11
1099,AL,Monroe County,Rural_Urban_Continuum_Code_2023,8
1099,AL,Monroe County,Urban_Influence_Code_2024,6
1099,AL,Monroe County,POVALL_2023,3627
1099,AL,Monroe County,CI90LBALL_2023,2777
1099,AL,Monroe County,CI90UBALL_2023,4477
1099,AL,Monroe County,PCTPOVALL_2023,19.1
1099,AL,Monroe County,CI90LBALLP_2023,14.6
1099,AL,Monroe County,CI90UBALLP_2023,23.6
1099,AL,Monroe County,POV017_2023,1113
1099,AL,Monroe County,CI90LB017_2023,727
1099,AL,Monroe County,CI90UB017_2023,1499
1099,AL,Monroe County,PCTPOV017_2023,27.9
1099,AL,Monroe County,CI90LB017P_2023,18.2
1099,AL,Monroe County,CI90UB017P_2023,37.6
1099,AL,Monroe County,POV517_2023,814
1099,AL,Monroe County,CI90LB517_2023,509
1099,AL,Monroe County,CI90UB517_2023,1119
1099,AL,Monroe County,PCTPOV517_2023,27.7
1099,AL,Monroe County,CI90LB517P_2023,17.3
1099,AL,Monroe County,CI90UB517P_2023,38.1
1099,AL,Monroe County,MEDHHINC_2023,49314
1099,AL,Monroe County,CI90LBINC_2023,43688
1099,AL,Monroe County,CI90UBINC_2023,54940
1129,AL,Washington County,Rural_Urban_Continuum_Code_2013,8
1129,AL,Washington County,Urban_Influence_Code_2013,7
1129,AL,Washington County,Rural_Urban_Continuum_Code_2023,8
1129,AL,Washington County,Urban_Influence_Code_2024,6
1129,AL,Washington County,POVALL_2023,2778
1129,AL,Washington County,CI90LBALL_2023,2163
1129,AL,Washington County,CI90UBALL_2023,3393
1129,AL,Washington County,PCTPOVALL_2023,18.7
1129,AL,Washington County,CI90LBALLP_2023,14.6
1129,AL,Washington County,CI90UBALLP_2023,22.8
1129,AL,Washington County,POV017_2023,832
1129,AL,Washington County,CI90LB017_2023,587
1129,AL,Washington County,CI90UB017_2023,1077
1129,AL,Washington County,PCTPOV017_2023,26.2
1129,AL,Washington County,CI90LB017P_2023,18.5
1129,AL,Washington County,CI90UB017P_2023,33.9
1129,AL,Washington County,POV517_2023,618
1129,AL,Washington County,CI90LB517_2023,426
1129,AL,Washington County,CI90UB517_2023,810
1129,AL,Washington County,PCTPOV517_2023,27.4
1129,AL,Washington County,CI90LB517P_2023,18.9
1129,AL,Washington County,CI90UB517P_2023,35.9
1129,AL,Washington County,MEDHHINC_2023,57311
1129,AL,Washington County,CI90LBINC_2023,50928
1129,AL,Washington County,CI90UBINC_2023,63694
